feature,n_partial,partial_pearson_r,partial_pearson_p,partial_spearman_r,partial_spearman_p,n_logit,OR_per_1SD,OR_95CI_low,OR_95CI_high,logit_p,AME(dy/dx)_per_1SD
DistanceFromHome,1470,0.096,0.00021460562752484427,0.059,0.023535805727229894,1470,1.374,1.1777559907163102,1.6035567753110564,5.38667675270021e-05,0.03410401232401286
TotalWorkingYears,1470,-0.039,0.13287847892872984,-0.065,0.012622239171709687,1470,0.841,0.6167630512280379,1.1473971847307691,0.274945910748432,-0.018811955323311515
YearsAtCompany,1470,-0.045,0.0850113457522566,-0.075,0.00422255590058093,1470,0.829,0.6663314528211493,1.0306001914411904,0.09120555220210193,-0.02047888075067095
Age,1470,-0.068,0.009527200451834623,-0.083,0.0013872242907066548,1470,0.819,0.680252457087871,0.9868229213179791,0.03574923642265986,-0.021606769131173802
YearsWithCurrManager,1470,-0.062,0.01826121395337591,-0.02,0.44815355154115943,1470,0.659,0.49531401708268735,0.8779193475134174,0.004348367040767553,-0.04504868188064897
YearsInCurrentRole,1470,-0.066,0.011097428737730532,-0.039,0.13201564165009294,1470,0.631,0.47244947540191656,0.842443301026685,0.001796191673800644,-0.049776024963133436
MonthlyIncome,1470,-0.05,0.05684305457280734,-0.044,0.09486814231499058,1470,0.513,0.26962253343591774,0.9755286336868707,0.04179814321361818,-0.07247107901906989
