feature,n_partial,partial_pearson_r,partial_pearson_p,partial_spearman_r,partial_spearman_p,n_logit,OR_per_1SD,OR_95CI_low,OR_95CI_high,logit_p,AME(dy/dx)_per_1SD
DistanceFromHome,1470,0.096,0.00021460562752486566,0.059,0.02349762322367331,1470,1.374,1.17775599071631,1.6035567753110556,5.3866767527002114e-05,0.03410401232401282
TotalWorkingYears,1470,-0.039,0.13287847892872687,-0.065,0.012622979193325652,1470,0.841,0.6167630512280382,1.1473971847307685,0.274945910748431,-0.018811955323311518
YearsAtCompany,1470,-0.045,0.08501134575225532,-0.075,0.00422835591552784,1470,0.829,0.6663314528211491,1.0306001914411904,0.09120555220210193,-0.020478880750670957
Age,1470,-0.068,0.00952720045183583,-0.083,0.001390542016825452,1470,0.819,0.6802524570878711,0.9868229213179791,0.03574923642265976,-0.021606769131173795
YearsWithCurrManager,1470,-0.062,0.018261213953375304,-0.02,0.44843109361517386,1470,0.659,0.4953140170826877,0.8779193475134172,0.0043483670407675,-0.045048681880648964
YearsInCurrentRole,1470,-0.066,0.01109742873772974,-0.039,0.13223345389328675,1470,0.631,0.47244947540191745,0.8424433010266859,0.0017961916738006756,-0.04977602496313325
MonthlyIncome,1470,-0.05,0.05684305457281063,-0.044,0.0948566352288266,1470,0.513,0.26962253343591813,0.975528633686869,0.04179814321361764,-0.07247107901906993
